category,url,numPages
TV,https://prod.danawa.com/list/?cate=10248425,20
에어컨,https://prod.danawa.com/list/?cate=1022644,20
에어드레서,https://prod.danawa.com/list/?cate=10247884,20
냉장고,https://prod.danawa.com/list/?cate=102110,20
공기청정기,https://prod.danawa.com/list/?cate=102738,20
데스크탑,https://prod.danawa.com/list/?cate=11236094,20
식기세척기,https://prod.danawa.com/list/?cate=102313,20
김치냉장고,https://prod.danawa.com/list/?cate=102122,20
냉장고,https://prod.danawa.com/list/?cate=102110,20
랩탑,https://prod.danawa.com/list/?cate=112758,20
모니터,https://prod.danawa.com/list/?cate=112757,20
오븐,https://prod.danawa.com/list/?cate=102124,10
프린터,https://prod.danawa.com/list/?cate=1121001,5
슈드레서,https://prod.danawa.com/list/?cate=10326556,3
시스템에어컨,https://prod.danawa.com/list/?cate=10337131,10
청소기,https://prod.danawa.com/list/?cate=10243069,20
청소기,https://prod.danawa.com/list/?cate=102207,20
청소기,https://prod.danawa.com/list/?cate=10253376,20
세탁기,https://prod.danawa.com/list/?cate=102206,20
세탁기,https://prod.danawa.com/list/?cate=10353131,20
세탁기,https://prod.danawa.com/list/?cate=10251634,20
버즈,https://prod.danawa.com/list/?cate=12237349,5
워치,https://prod.danawa.com/list/?cate=12253476,10
태블릿,https://prod.danawa.com/list/?cate=12210596,10
스마트폰,https://prod.danawa.com/list/?cate=12215709,20